kaisai_tsukihi,keibajo_code,race_bango,recommendation,top1_deviation,top5_predicted,top3_actual,hit_count,is_hit
1109,55,6,★★★★☆,69.7,"2,9,7,4,6","7,2,9",3,○
1109,55,7,★★★★★,72.1,"1,9,6,11,7","7,1,2",2,×
1109,55,8,★★★★☆,65.6,"1,5,3,4,7","7,1,3",3,○
1109,55,9,★★★★★,70.8,"8,10,12,5,1","2,8,4",1,×
1109,55,10,★★★★★,80.2,"12,9,3,1,6","12,9,7",2,×
1110,35,1,★★★★★,71.5,"1,5,7,2,9","5,1,6",2,×
1110,35,2,★★★★★,75.6,"8,5,4,10,2","5,8,2",3,○
1110,35,3,★★★★★,74.9,"2,11,6,10,5","11,2,6",3,○
1110,35,4,★★★★★,70.1,"8,5,3,6,10","5,3,8",3,○
1110,35,6,★★★★☆,66.7,"7,3,1,8,5","8,7,6",2,×
1110,35,7,★★★★★,70.7,"6,4,7,1,8","6,2,4",2,×
1110,35,9,★★★★★,77.3,"4,10,6,11,9","4,9,6",3,○
1110,35,10,★★★★★,79.2,"5,1,10,9,8","5,7,9",2,×
1110,35,11,★★★★☆,69.8,"1,6,3,10,7","7,3,8",2,×
1110,35,12,★★★★★,72.5,"4,7,9,11,2","7,11,4",3,○
1110,44,1,★★★★★,79.3,"10,1,7,5,6","10,1,7",3,○
1110,44,2,★★★★★,73.6,"2,10,7,1,3","2,1,5",2,×
1110,44,3,★★★★★,77.4,"8,5,9,7,3","8,7,5",3,○
1110,44,4,★★★★★,74.2,"6,3,4,7,2","6,10,3",2,×
1110,44,5,★★★★★,78.5,"3,12,11,1,14","3,8,12",2,×
1110,44,6,★★★★☆,69.5,"1,7,2,12,14","2,7,1",3,○
1110,44,7,★★★★★,73.1,"12,10,1,9,4","12,11,9",2,×
1110,44,8,★★★★☆,65.1,"6,1,10,7,9","1,6,9",3,○
1110,44,9,★★★★☆,67.9,"9,1,3,7,5","3,4,2",1,×
1110,44,10,★★★★★,80.5,"11,1,4,14,2","2,11,1",3,○
1110,44,11,★★★★☆,65.7,"2,10,5,12,4","2,1,12",2,×
1110,44,12,★★★★★,79.2,"5,11,4,3,13","5,3,13",3,○
1110,46,1,★★★★☆,67.2,"7,1,4,2,3","1,7,4",3,○
1110,46,2,★★★★☆,67.3,"6,2,7,1,4","2,6,3",2,×
1110,46,4,★★★★☆,69.6,"4,6,1,5,2","4,2,3",2,×
1110,46,5,★★★★★,74.3,"7,1,2,4,8","7,8,1",3,○
1110,46,6,★★★★☆,67.7,"1,2,5,6,4","1,5,2",3,○
1110,46,7,★★★★★,72.7,"6,7,4,3,5","6,7,5",3,○
1110,46,8,★★★★★,72.0,"6,7,2,3,5","6,7,3",3,○
1110,46,9,★★★★★,70.5,"8,5,9,1,7","8,9,3",2,×
1110,48,1,★★★★☆,67.9,"11,3,6,7,1","11,3,6",3,○
1110,48,2,★★★★☆,65.3,"4,6,1,10,5","1,6,10",3,○
1110,48,3,★★★★☆,69.2,"2,8,4,9,3","2,3,7",2,×
1110,48,6,★★★★☆,69.2,"11,9,10,1,5","11,5,10",3,○
1110,48,7,★★★★☆,68.7,"6,3,4,2,1","4,6,10",2,×
1110,48,8,★★★★★,70.0,"4,2,3,6,8","6,2,4",3,○
1110,48,9,★★★★★,72.8,"7,4,5,6,12","4,7,9",2,×
1110,48,10,★★★★☆,66.1,"7,12,9,3,8","12,7,9",3,○
1110,48,11,★★★★★,72.7,"4,2,10,9,7","7,8,10",2,×
1110,48,12,★★★★★,73.1,"1,9,7,5,3","7,1,8",2,×
1111,30,2,★★★★☆,66.1,"6,1,2,9,4","6,1,9",3,○
1111,30,3,★★★★☆,67.7,"10,9,7,4,6","7,10,4",3,○
1111,30,4,★★★★☆,65.7,"8,16,10,1,15","1,3,7",1,×
1111,30,5,★★★★★,76.7,"10,5,4,6,9","9,1,5",2,×
1111,30,7,★★★★★,72.6,"15,11,1,9,4","9,11,7",2,×
1111,30,8,★★★★★,78.4,"10,7,1,11,5","10,3,1",2,×
1111,30,9,★★★★★,71.9,"4,7,9,1,10","4,9,7",3,○
1111,30,10,★★★★☆,68.8,"12,3,8,6,11","13,12,8",2,×
1111,30,11,★★★★★,71.2,"9,10,12,6,15","6,9,15",3,○
1111,30,12,★★★★★,74.9,"9,1,3,8,11","9,3,1",3,○
1111,35,1,★★★★★,72.1,"4,1,5,2,7","1,6,4",2,×
1111,35,2,★★★★★,76.9,"2,9,6,1,7","6,2,9",3,○
