date,race_id,pred_top3,pred_top5,actual_top3,actual_top5,pred_pwin_top5
20250104,2025_0104_55_12,4|9|10,4|9|10|1|7,9|10,9|10|7|4,0.235498|0.235498|0.235498|0.058875|0.042818
20250105,2025_0105_54_01,4|1|5,4|1|5|3|8,4|1,4|1|5,0.276833|0.138416|0.138416|0.110733|0.110733
20250105,2025_0105_54_02,6|7|8,6|7|8|2|4,6|7|8,6|7|8|2,0.245580|0.196464|0.130976|0.122790|0.087707
20250105,2025_0105_54_03,10|8|12,10|8|12|7|9,12|8|7,12|8|7,0.164830|0.117405|0.116846|0.106224|0.076921
20250105,2025_0105_54_04,1|5|2,1|5|2|6|8,5|6,5|6|1,0.145507|0.124720|0.122226|0.117525|0.109130
20250105,2025_0105_54_05,2|1|5,2|1|5|7|3,5|7|3,5|7|3|2,0.361153|0.116844|0.107578|0.106704|0.081771
20250105,2025_0105_54_06,5|1|8,5|1|8|3|4,8|3|1,8|3|1|5,0.427021|0.113186|0.100166|0.097050|0.078662
20250105,2025_0105_54_07,4|1|2,4|1|2|6|9,6|4,6|4,0.343087|0.171544|0.082595|0.077195|0.073243
20250105,2025_0105_54_08,2|1|7,2|1|7|6|3,7|3,7|3|6|1,0.216676|0.211260|0.154924|0.089265|0.088025
20250105,2025_0105_54_09,5|1|7,5|1|7|4|3,5|1,5|1|7,0.162013|0.155410|0.138674|0.125192|0.121398
20250105,2025_0105_54_10,1|5|11,1|5|11|2|3,5,5|11|2,0.106196|0.103836|0.098027|0.095577|0.094397
20250105,2025_0105_55_01,1|7|8,1|7|8|9|10,9|1,9|1|8,0.142111|0.128381|0.125671|0.098755|0.097109
20250105,2025_0105_55_02,8|9|3,8|9|3|6|1,9|1|8,9|1|8|3,0.134140|0.122217|0.107312|0.100476|0.091662
20250105,2025_0105_55_03,9|5|4,9|5|4|1|2,5|2|1,5|2|1|9,0.170209|0.121353|0.119146|0.118073|0.110636
20250105,2025_0105_55_04,1|8|2,1|8|2|10|6,1|8|2,1|8|2|6,0.298408|0.198939|0.074602|0.074602|0.070214
20250105,2025_0105_55_05,7|5|10,7|5|10|12|2,12|5,12|5|7,0.219143|0.131486|0.091310|0.084286|0.078265
20250105,2025_0105_55_06,5|2|1,5|2|1|10|8,10|5,10|5|2,0.175238|0.117807|0.111854|0.106205|0.092983
20250105,2025_0105_55_07,1|6|9,1|6|9|8|7,9,9|7,0.252204|0.118684|0.093409|0.082113|0.081356
20250105,2025_0105_55_08,6|3|8,6|3|8|5|1,6|8,6|8|1|5,0.284981|0.166239|0.092658|0.081757|0.077578
20250105,2025_0105_55_09,5|12|3,5|12|3|2|10,10|5,10|5,0.129761|0.102432|0.090381|0.086818|0.085289
20250105,2025_0105_55_10,1|2|3,1|2|3|5|9,2|9|1,2|9|1|3,0.242149|0.166045|0.157845|0.082434|0.079948
20250105,2025_0105_55_11,11|2|8,11|2|8|1|9,2|9,2|9|11|8,0.261365|0.125656|0.105602|0.079202|0.074372
20250105,2025_0105_55_12,8|9|7,8|9|7|5|6,6|7,6|7|5|9,0.134437|0.113381|0.101462|0.097934|0.090125
20250106,2025_0106_48_01,2|6|8,2|6|8|5|3,2|6|5,2|6|5|3|8,0.437394|0.072899|0.072899|0.069983|0.069062
20250106,2025_0106_48_02,7|5|6,7|5|6|3|8,6,6|8,0.150865|0.107761|0.094290|0.091088|0.086208
20250106,2025_0106_48_03,3|11|10,3|11|10|8|6,8|3,8|3|10,0.140262|0.116079|0.113897|0.105563|0.102009
20250106,2025_0106_48_04,7|6|5,7|6|5|4|10,7|6,7|6|4|10,0.130946|0.129223|0.126995|0.106172|0.080720
20250106,2025_0106_48_05,9|11|3,9|11|3|6|8,8|11,8|11|9,0.151063|0.114904|0.114332|0.104142|0.087430
20250106,2025_0106_48_06,5|11|10,5|11|10|2|7,11|10,11|10|7,0.180244|0.115356|0.105348|0.090122|0.080108
20250106,2025_0106_48_07,1|11|10,1|11|10|5|3,1|10|5,1|10|5|11,0.282865|0.116474|0.102860|0.099835|0.094288
20250106,2025_0106_48_08,1|10|2,1|10|2|3|8,2,2|3,0.192710|0.140044|0.102254|0.090989|0.083344
20250106,2025_0106_48_09,2|4|1,2|4|1|8|7,2|4|1,2|4|1,0.274466|0.156494|0.128084|0.106416|0.089984
20250106,2025_0106_48_10,1|3|9,1|3|9|6|4,1|3,1|3|4,0.157025|0.125620|0.123377|0.088685|0.081571
